epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1592,1.81628,3.30929,1.11812,0.00225,0.02409,0.0082,0.00193,1.6439,3.76783,1.00929,0.000405983,0.000405983,0.000405983
2,52.074,1.69429,1.88973,1.0626,0.02382,0.41347,0.34438,0.1749,1.49428,3.11264,1.00794,0.000818557,0.000818557,0.000818557
3,64.4262,1.68051,1.7031,1.04555,0.91574,0.24158,0.36691,0.17921,1.60278,2.16564,1.03313,0.00122699,0.00122699,0.00122699
4,77.1098,1.5923,1.5161,1.02593,0.89066,0.34782,0.38231,0.19707,1.51956,1.38047,1.01245,0.00123134,0.00123134,0.00123134
5,90.0283,1.55848,1.38999,1.00824,0.89717,0.39496,0.42472,0.23943,1.3959,1.06023,0.99618,0.00122513,0.00122513,0.00122513
6,102.865,1.53322,1.31557,1.0038,0.92817,0.3811,0.44767,0.2575,1.40602,0.98254,0.99777,0.00121891,0.00121891,0.00121891
7,115.662,1.4869,1.19795,0.99671,0.7011,0.50456,0.5394,0.28712,1.41263,1.00182,0.99585,0.00121269,0.00121269,0.00121269
8,128.355,1.50462,1.19166,1.002,0.90897,0.47778,0.55571,0.31175,1.40392,0.9733,0.98558,0.00120647,0.00120647,0.00120647
9,140.043,1.45146,1.09248,0.97492,0.83162,0.58404,0.63161,0.40407,1.36443,0.9481,0.97527,0.00120025,0.00120025,0.00120025
10,151.556,1.44312,1.07914,0.99163,0.87578,0.59409,0.66908,0.39679,1.37482,0.91622,0.97608,0.00119403,0.00119403,0.00119403
11,164.156,1.44593,1.03826,0.98301,0.91613,0.55042,0.62778,0.39238,1.31935,0.87325,0.96129,0.00118781,0.00118781,0.00118781
12,176.425,1.42345,1.00353,0.97196,0.82746,0.55028,0.6494,0.40295,1.31917,0.87346,0.9719,0.00118159,0.00118159,0.00118159
13,188.946,1.38296,0.98037,0.97574,0.89831,0.5811,0.62793,0.39999,1.30558,0.94444,0.95883,0.00117537,0.00117537,0.00117537
14,202.949,1.42612,0.96874,0.96619,0.9331,0.56527,0.66517,0.42545,1.29301,0.84041,0.95234,0.00116916,0.00116916,0.00116916
15,215.535,1.38972,0.93557,0.95937,0.93098,0.59387,0.65246,0.40216,1.28188,0.82945,0.94957,0.00116294,0.00116294,0.00116294
16,226.921,1.36554,0.91552,0.95263,0.88545,0.61072,0.64157,0.38114,1.30568,0.82296,0.96533,0.00115672,0.00115672,0.00115672
17,238.773,1.36364,0.89344,0.95024,0.89863,0.58923,0.66618,0.39184,1.35158,0.84756,0.96419,0.0011505,0.0011505,0.0011505
18,251.565,1.36126,0.88916,0.95191,0.91278,0.62901,0.68975,0.42668,1.2261,0.83634,0.94684,0.00114428,0.00114428,0.00114428
19,264.196,1.36239,0.87052,0.95055,0.88839,0.60136,0.69948,0.42715,1.30538,0.78772,0.96032,0.00113806,0.00113806,0.00113806
20,276.553,1.33996,0.8495,0.94336,0.91341,0.63337,0.69224,0.44727,1.24043,0.78724,0.94155,0.00113184,0.00113184,0.00113184
21,289.185,1.38301,0.85286,0.95376,0.92958,0.57428,0.63055,0.40122,1.25083,0.76279,0.94544,0.00112562,0.00112562,0.00112562
22,301.516,1.32156,0.82568,0.94398,0.93756,0.64728,0.68725,0.41753,1.25498,0.78057,0.93622,0.00111941,0.00111941,0.00111941
23,313.19,1.33511,0.84366,0.9428,0.89296,0.70315,0.72149,0.44275,1.24463,0.75422,0.95063,0.00111319,0.00111319,0.00111319
24,325.377,1.28011,0.81581,0.93726,0.954,0.62238,0.71768,0.44075,1.25197,0.77104,0.94603,0.00110697,0.00110697,0.00110697
25,337.861,1.30607,0.81301,0.93451,0.80897,0.67953,0.70273,0.428,1.2344,0.78873,0.9452,0.00110075,0.00110075,0.00110075
26,350.684,1.34662,0.82229,0.94418,0.86979,0.59004,0.67019,0.40891,1.2955,0.77378,0.94976,0.00109453,0.00109453,0.00109453
27,363.772,1.35235,0.81753,0.93934,0.87981,0.69421,0.74491,0.39798,1.25736,0.75833,0.94718,0.00108831,0.00108831,0.00108831
28,376.524,1.29755,0.79143,0.93305,0.87479,0.6316,0.66663,0.3973,1.26435,0.75813,0.94502,0.00108209,0.00108209,0.00108209
29,388.982,1.27199,0.78591,0.93219,0.89069,0.66636,0.7315,0.44091,1.20894,0.74969,0.92867,0.00107588,0.00107588,0.00107588
30,400.857,1.26268,0.76019,0.92077,0.86427,0.62,0.68289,0.41965,1.23341,0.74043,0.93888,0.00106966,0.00106966,0.00106966
31,415.329,1.27973,0.76737,0.93139,0.94515,0.64477,0.72512,0.45272,1.22065,0.73312,0.93736,0.00106344,0.00106344,0.00106344
32,427.324,1.30327,0.78407,0.92581,0.94741,0.69534,0.73958,0.42679,1.24408,0.74151,0.94211,0.00105722,0.00105722,0.00105722
33,440.238,1.29139,0.77948,0.92669,0.95404,0.64753,0.68627,0.41301,1.21089,0.72747,0.93014,0.001051,0.001051,0.001051
34,452.898,1.24413,0.74018,0.91784,0.90359,0.63836,0.65991,0.40083,1.25244,0.7663,0.93441,0.00104478,0.00104478,0.00104478
35,465.511,1.27719,0.74568,0.92458,0.94903,0.6788,0.75597,0.46279,1.21791,0.73788,0.93173,0.00103856,0.00103856,0.00103856
36,478.129,1.23285,0.72617,0.92398,0.95296,0.6148,0.77046,0.4917,1.21029,0.74657,0.92948,0.00103234,0.00103234,0.00103234
37,490.969,1.24753,0.74064,0.91733,0.89811,0.65191,0.83355,0.48176,1.23756,0.75685,0.93413,0.00102613,0.00102613,0.00102613
38,503.063,1.22405,0.73169,0.92301,0.96185,0.63454,0.75635,0.46496,1.21606,0.7246,0.93431,0.00101991,0.00101991,0.00101991
39,514.62,1.22955,0.72637,0.92262,0.88078,0.7006,0.76463,0.44898,1.21068,0.69259,0.92777,0.00101369,0.00101369,0.00101369
40,527.116,1.21698,0.70435,0.90551,0.90869,0.70816,0.77002,0.48383,1.20186,0.71025,0.93575,0.00100747,0.00100747,0.00100747
41,539.8,1.19626,0.70201,0.91248,0.94861,0.65384,0.78036,0.51667,1.21496,0.72371,0.93628,0.00100125,0.00100125,0.00100125
42,552.421,1.20726,0.7026,0.90897,0.88957,0.71282,0.77143,0.46754,1.20042,0.71379,0.92237,0.000995031,0.000995031,0.000995031
43,565.002,1.21841,0.70817,0.91652,0.94822,0.64885,0.70921,0.46855,1.19107,0.6991,0.92561,0.000988813,0.000988813,0.000988813
44,577.9,1.22021,0.6968,0.9148,0.85324,0.65095,0.68983,0.43272,1.22299,0.71521,0.93474,0.000982594,0.000982594,0.000982594
45,590.082,1.20453,0.69441,0.91099,0.9465,0.5639,0.70684,0.4574,1.17791,0.68464,0.92793,0.000976375,0.000976375,0.000976375
46,601.844,1.19108,0.68554,0.90468,0.77619,0.69719,0.81618,0.53192,1.17581,0.68177,0.9249,0.000970156,0.000970156,0.000970156
47,614.516,1.22959,0.72209,0.91454,0.87463,0.6598,0.774,0.48251,1.18586,0.69046,0.92614,0.000963938,0.000963938,0.000963938
48,628.877,1.20874,0.70068,0.90693,0.96691,0.693,0.79742,0.50388,1.16643,0.67304,0.91826,0.000957719,0.000957719,0.000957719
49,641.382,1.1793,0.68824,0.90471,0.95682,0.69832,0.8063,0.51413,1.21151,0.7047,0.93016,0.0009515,0.0009515,0.0009515
50,654.186,1.19988,0.68231,0.90922,0.94183,0.65461,0.86518,0.51099,1.205,0.69498,0.9351,0.000945281,0.000945281,0.000945281
51,666.839,1.20303,0.69069,0.90591,0.94212,0.64327,0.77456,0.46687,1.20747,0.70287,0.93304,0.000939063,0.000939063,0.000939063
52,678.795,1.16934,0.66821,0.9046,0.89077,0.66327,0.80977,0.49965,1.21683,0.6685,0.9279,0.000932844,0.000932844,0.000932844
53,690.623,1.16791,0.66745,0.8989,0.94033,0.63805,0.83873,0.55396,1.17692,0.67987,0.91955,0.000926625,0.000926625,0.000926625
54,703.14,1.20976,0.69139,0.90517,0.95142,0.66462,0.81136,0.55044,1.17521,0.67781,0.91864,0.000920406,0.000920406,0.000920406
55,716.165,1.15438,0.65577,0.89559,0.96602,0.65604,0.75777,0.46229,1.16506,0.66096,0.91877,0.000914187,0.000914187,0.000914187
56,728.928,1.15185,0.67099,0.90038,0.95974,0.63312,0.81748,0.528,1.21648,0.69253,0.92678,0.000907969,0.000907969,0.000907969
57,741.627,1.19794,0.66992,0.90412,0.9378,0.63993,0.83186,0.54827,1.18104,0.67529,0.92431,0.00090175,0.00090175,0.00090175
58,754.483,1.17603,0.66467,0.89466,0.96161,0.64428,0.73351,0.48393,1.174,0.6658,0.91905,0.000895531,0.000895531,0.000895531
59,767.088,1.16903,0.65558,0.89378,0.94394,0.66576,0.77618,0.51101,1.15502,0.66096,0.9205,0.000889312,0.000889312,0.000889312
60,778.755,1.16134,0.66025,0.89913,0.95355,0.64137,0.75729,0.50759,1.16583,0.668,0.9326,0.000883094,0.000883094,0.000883094
61,790.746,1.17096,0.65981,0.89451,0.58107,0.85444,0.77043,0.50713,1.16948,0.67392,0.91945,0.000876875,0.000876875,0.000876875
62,803.46,1.14119,0.66247,0.89196,0.69974,0.82143,0.79837,0.50449,1.16592,0.68428,0.91809,0.000870656,0.000870656,0.000870656
63,816.162,1.14864,0.65011,0.89274,0.9618,0.62673,0.81933,0.55687,1.14296,0.65678,0.9147,0.000864437,0.000864437,0.000864437
64,829.085,1.11199,0.62601,0.89314,0.96696,0.6334,0.83414,0.55734,1.15016,0.64863,0.92398,0.000858219,0.000858219,0.000858219
65,841.975,1.14188,0.64189,0.89122,0.96897,0.64408,0.75137,0.50527,1.18008,0.65677,0.92984,0.000852,0.000852,0.000852
66,854.595,1.15819,0.65851,0.89729,0.90584,0.65684,0.78142,0.54264,1.17799,0.67174,0.91935,0.000845781,0.000845781,0.000845781
67,866.647,1.12676,0.62877,0.89469,0.58844,0.79357,0.82706,0.60207,1.15197,0.66402,0.92081,0.000839563,0.000839563,0.000839563
68,878.308,1.12149,0.62857,0.88991,0.94326,0.62811,0.83241,0.54761,1.17361,0.65717,0.9199,0.000833344,0.000833344,0.000833344
69,890.813,1.12406,0.62807,0.89643,0.62867,0.84657,0.82898,0.53807,1.17263,0.66928,0.91983,0.000827125,0.000827125,0.000827125
70,903.217,1.12708,0.63281,0.89151,0.91537,0.69898,0.88378,0.59911,1.157,0.674,0.92198,0.000820906,0.000820906,0.000820906
71,915.656,1.12065,0.63077,0.8888,0.83768,0.83448,0.88327,0.5893,1.15681,0.65084,0.91518,0.000814688,0.000814688,0.000814688
72,928.151,1.08278,0.60952,0.88075,0.71327,0.80503,0.85855,0.58156,1.12067,0.64835,0.90893,0.000808469,0.000808469,0.000808469
73,941.253,1.11133,0.62522,0.89124,0.94438,0.64318,0.82992,0.57753,1.15553,0.65851,0.9246,0.00080225,0.00080225,0.00080225
74,952.818,1.12653,0.6286,0.88688,0.96921,0.66509,0.87229,0.58141,1.13243,0.63576,0.91148,0.000796031,0.000796031,0.000796031
75,964.729,1.11005,0.61995,0.88257,0.90678,0.66354,0.93144,0.59793,1.16599,0.64431,0.91683,0.000789813,0.000789813,0.000789813
76,977.27,1.09715,0.62501,0.88577,0.64437,0.79428,0.79879,0.5172,1.16071,0.65485,0.91604,0.000783594,0.000783594,0.000783594
77,989.927,1.10459,0.61805,0.88504,0.74915,0.79115,0.84805,0.59102,1.15006,0.64596,0.91824,0.000777375,0.000777375,0.000777375
78,1002.98,1.06803,0.60568,0.88123,0.61398,0.78962,0.75865,0.54071,1.12112,0.64114,0.91108,0.000771156,0.000771156,0.000771156
79,1015.59,1.07827,0.60752,0.88866,0.69266,0.80503,0.82158,0.5614,1.13908,0.63703,0.91032,0.000764937,0.000764937,0.000764937
80,1028.26,1.10636,0.6224,0.88397,0.75873,0.78782,0.79769,0.55001,1.14148,0.63009,0.91037,0.000758719,0.000758719,0.000758719
81,1040.11,1.07264,0.60926,0.88153,0.65865,0.78299,0.77803,0.52095,1.13504,0.65276,0.91017,0.0007525,0.0007525,0.0007525
82,1052.01,1.13202,0.62897,0.89007,0.92688,0.63376,0.73429,0.47123,1.14957,0.64006,0.91721,0.000746281,0.000746281,0.000746281
83,1064.52,1.09407,0.6135,0.88384,0.73485,0.82333,0.86674,0.52943,1.14317,0.63831,0.91045,0.000740063,0.000740063,0.000740063
84,1077.13,1.06841,0.58976,0.87985,0.94149,0.65281,0.77766,0.51975,1.13038,0.62167,0.91633,0.000733844,0.000733844,0.000733844
85,1089.7,1.07966,0.60244,0.88025,0.96164,0.66268,0.84264,0.56256,1.14074,0.63354,0.91986,0.000727625,0.000727625,0.000727625
86,1102.31,1.06591,0.59578,0.88429,0.78045,0.82842,0.79587,0.49984,1.13545,0.64881,0.91449,0.000721406,0.000721406,0.000721406
87,1114.68,1.06022,0.59671,0.87758,0.76492,0.83036,0.80492,0.53374,1.15846,0.63508,0.92116,0.000715188,0.000715188,0.000715188
88,1126.25,1.0825,0.59556,0.87561,0.6903,0.79751,0.77778,0.52318,1.12532,0.63176,0.91548,0.000708969,0.000708969,0.000708969
