epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6575,1.66514,2.80556,1.19852,0.01231,0.38877,0.31707,0.16935,1.49262,2.99949,1.10793,0.000411458,0.000411458,0.000411458
2,39.2967,1.57872,1.7148,1.12774,0.87927,0.314,0.37764,0.20412,1.54218,1.72975,1.12335,0.000824005,0.000824005,0.000824005
3,48.6059,1.53259,1.50975,1.10836,0.86848,0.35214,0.38372,0.20354,1.5556,1.25178,1.14118,0.00123241,0.00123241,0.00123241
4,57.6096,1.52071,1.38815,1.11785,0.90074,0.37544,0.4111,0.22531,1.49182,1.16789,1.09223,0.00123134,0.00123134,0.00123134
5,66.6175,1.48257,1.2154,1.09255,0.9181,0.3906,0.44574,0.25528,1.42188,1.21831,1.06619,0.00122513,0.00122513,0.00122513
6,75.6089,1.44714,1.13289,1.07781,0.69786,0.48232,0.52325,0.30933,1.45945,0.99351,1.10486,0.00121891,0.00121891,0.00121891
7,84.7258,1.43192,1.07497,1.07408,0.92228,0.41956,0.5394,0.31524,1.43915,0.92158,1.05086,0.00121269,0.00121269,0.00121269
8,93.7995,1.40852,1.00813,1.0575,0.9071,0.54694,0.63042,0.37964,1.36786,0.87686,1.04699,0.00120647,0.00120647,0.00120647
9,103.035,1.37888,0.95568,1.03903,0.91195,0.55228,0.61637,0.38376,1.32216,0.94268,1.02393,0.00120025,0.00120025,0.00120025
10,112.154,1.35421,0.93398,1.0435,0.92538,0.5122,0.61847,0.38813,1.34681,0.8591,1.04154,0.00119403,0.00119403,0.00119403
11,121.345,1.35178,0.9272,1.04076,0.85329,0.59124,0.67736,0.38616,1.32851,0.85291,1.0271,0.00118781,0.00118781,0.00118781
12,130.196,1.34408,0.87827,1.02804,0.92756,0.64887,0.67564,0.38615,1.30591,0.81803,1.0264,0.00118159,0.00118159,0.00118159
13,139.06,1.32782,0.88052,1.0271,0.96901,0.60465,0.66523,0.40584,1.31695,0.82532,1.02508,0.00117537,0.00117537,0.00117537
14,148.063,1.30304,0.8485,1.01126,0.91979,0.59657,0.63252,0.40503,1.33065,0.87154,1.03652,0.00116916,0.00116916,0.00116916
15,157.093,1.30726,0.84467,1.01686,0.94962,0.66384,0.69201,0.43949,1.29397,0.76229,1.0124,0.00116294,0.00116294,0.00116294
16,166.11,1.28416,0.81174,1.01955,0.83091,0.60681,0.69586,0.43892,1.30518,0.76723,1.01831,0.00115672,0.00115672,0.00115672
17,175.184,1.29225,0.81579,1.01201,0.94375,0.65928,0.69186,0.41341,1.25756,0.76762,1.0153,0.0011505,0.0011505,0.0011505
18,184.076,1.28082,0.80484,1.01502,0.95021,0.63666,0.70113,0.41357,1.26697,0.77141,1.01732,0.00114428,0.00114428,0.00114428
19,193.073,1.25791,0.77992,1.00349,0.96699,0.65344,0.70366,0.42102,1.25091,0.76303,1.01382,0.00113806,0.00113806,0.00113806
20,202.28,1.25944,0.78511,1.00359,0.93274,0.64185,0.70752,0.45581,1.25684,0.7381,1.00692,0.00113184,0.00113184,0.00113184
21,211.534,1.27373,0.7743,1.0011,0.96127,0.64888,0.7042,0.44429,1.27841,0.73396,1.01216,0.00112562,0.00112562,0.00112562
22,220.507,1.2355,0.74639,0.99738,0.93555,0.67348,0.7271,0.44891,1.25954,0.69382,1.00808,0.00111941,0.00111941,0.00111941
23,229.515,1.23974,0.74962,0.99585,0.95141,0.64173,0.71306,0.45993,1.21973,0.706,0.99139,0.00111319,0.00111319,0.00111319
24,238.62,1.21787,0.74777,0.98935,0.9577,0.66591,0.70365,0.45206,1.23605,0.71728,0.99224,0.00110697,0.00110697,0.00110697
25,247.744,1.22359,0.7493,0.985,0.88955,0.58249,0.72379,0.47011,1.22215,0.7194,0.99278,0.00110075,0.00110075,0.00110075
26,256.63,1.21293,0.73243,0.97841,0.91765,0.59554,0.70376,0.43986,1.25238,0.68156,1.00916,0.00109453,0.00109453,0.00109453
27,265.573,1.19018,0.70623,0.97497,0.91982,0.65901,0.8358,0.559,1.2408,0.68975,1.0042,0.00108831,0.00108831,0.00108831
28,274.676,1.18891,0.71475,0.98189,0.90492,0.64535,0.7369,0.45994,1.2326,0.68484,0.99525,0.00108209,0.00108209,0.00108209
29,283.631,1.19244,0.71418,0.97714,0.94582,0.60295,0.82841,0.54694,1.24097,0.68058,1.0061,0.00107588,0.00107588,0.00107588
30,292.732,1.18644,0.71632,0.98719,0.96831,0.60888,0.7224,0.46475,1.18117,0.67122,0.9821,0.00106966,0.00106966,0.00106966
31,301.642,1.17521,0.69947,0.96737,0.96923,0.67435,0.76842,0.48444,1.22661,0.68506,0.98862,0.00106344,0.00106344,0.00106344
32,310.752,1.19671,0.70125,0.97673,0.95271,0.67408,0.76867,0.4871,1.22737,0.67716,0.9838,0.00105722,0.00105722,0.00105722
33,319.899,1.17216,0.6895,0.96818,0.97044,0.6468,0.82297,0.54697,1.25012,0.67353,0.99835,0.001051,0.001051,0.001051
34,328.842,1.16661,0.67328,0.96255,0.92746,0.67277,0.72919,0.45583,1.20993,0.66317,0.98757,0.00104478,0.00104478,0.00104478
