epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1802,1.82843,3.16445,1.11717,0.00361,0.02737,0.0072,0.00328,1.58075,3.82195,1.00617,0.000405983,0.000405983,0.000405983
2,53.2483,1.72739,1.93174,1.06449,0.02887,0.39998,0.34028,0.17042,1.49076,3.14558,0.98324,0.000818557,0.000818557,0.000818557
3,65.7419,1.66683,1.65248,1.03954,0.95124,0.26065,0.4044,0.21156,1.51433,2.11911,1.00669,0.00122699,0.00122699,0.00122699
4,77.7244,1.62245,1.49855,1.02139,0.89339,0.38756,0.41114,0.22082,1.534,1.26773,1.00267,0.00123134,0.00123134,0.00123134
5,90.1077,1.58635,1.40929,1.0211,0.67237,0.40526,0.44365,0.24731,1.39714,0.96683,0.9792,0.00122513,0.00122513,0.00122513
6,102.672,1.52051,1.27375,1.00025,0.93376,0.4213,0.456,0.25354,1.38159,0.92024,0.97426,0.00121891,0.00121891,0.00121891
7,115.412,1.49347,1.19244,0.99444,0.92137,0.40857,0.46364,0.27408,1.37731,0.9326,0.97315,0.00121269,0.00121269,0.00121269
8,127.857,1.48657,1.16408,0.98552,0.91211,0.60402,0.64751,0.39637,1.4124,0.91991,0.96918,0.00120647,0.00120647,0.00120647
9,140.396,1.45689,1.07674,0.97111,0.94033,0.41481,0.45701,0.25813,1.3794,0.91644,0.97513,0.00120025,0.00120025,0.00120025
10,152.315,1.44649,1.05767,0.97905,0.88956,0.59695,0.62885,0.37364,1.3511,0.87893,0.96369,0.00119403,0.00119403,0.00119403
11,164.885,1.42929,1.01689,0.97169,0.90952,0.53168,0.64474,0.39506,1.35324,0.841,0.95786,0.00118781,0.00118781,0.00118781
12,176.72,1.41726,0.96906,0.96999,0.87238,0.66813,0.68953,0.43593,1.37821,0.84291,0.97236,0.00118159,0.00118159,0.00118159
13,189.17,1.40221,0.96959,0.96368,0.78393,0.63286,0.63272,0.33035,1.3896,0.91046,0.96873,0.00117537,0.00117537,0.00117537
14,201.57,1.38642,0.93968,0.96323,0.7086,0.4823,0.49193,0.29979,1.29761,0.89072,0.95634,0.00116916,0.00116916,0.00116916
15,213.917,1.4116,0.92451,0.97076,0.69508,0.64267,0.66006,0.37351,1.30139,0.80002,0.95094,0.00116294,0.00116294,0.00116294
16,226.489,1.38701,0.91885,0.96026,0.95226,0.67762,0.72583,0.42017,1.33307,0.81705,0.95767,0.00115672,0.00115672,0.00115672
