epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8176,1.61642,2.71236,1.01682,0.00901,0.92047,0.3434,0.18084,1.1949,24.6075,0.81264,0.000659649,0.000659649,0.000659649
2,52.0509,1.48241,1.60502,0.97962,0.80269,0.79823,0.84038,0.47641,1.23688,9.18301,0.88107,0.00131972,0.00131972,0.00131972
3,62.9312,1.49324,1.33724,0.99194,0.84714,0.68483,0.78466,0.4379,1.25726,11.7944,0.86675,0.00197315,0.00197315,0.00197315
4,73.4585,1.45041,1.10628,0.98397,0.82065,0.70545,0.76208,0.41475,1.25016,8.82265,0.86199,0.00197015,0.00197015,0.00197015
5,84.057,1.41449,0.97955,0.97657,0.88785,0.79282,0.88682,0.53349,1.1295,1.00328,0.82344,0.0019602,0.0019602,0.0019602
6,94.2866,1.38211,0.93199,0.97843,0.9185,0.86314,0.9262,0.55507,1.09301,5.30687,0.80988,0.00195025,0.00195025,0.00195025
7,104.482,1.35478,0.84908,0.97098,0.91891,0.84831,0.92091,0.52163,1.16068,2.57756,0.80347,0.0019403,0.0019403,0.0019403
8,114.941,1.31568,0.80697,0.9475,0.91708,0.86745,0.92881,0.56872,1.08074,1.59086,0.81625,0.00193035,0.00193035,0.00193035
9,125.62,1.31556,0.8051,0.9374,0.8988,0.89691,0.93931,0.58307,1.04853,1.98724,0.79877,0.0019204,0.0019204,0.0019204
10,136.33,1.29727,0.77759,0.93867,0.91371,0.87629,0.93482,0.56349,1.08126,2.2862,0.7981,0.00191045,0.00191045,0.00191045
11,147.08,1.2907,0.76862,0.93702,0.86103,0.86451,0.91221,0.57471,1.02876,1.97311,0.7736,0.0019005,0.0019005,0.0019005
12,157.842,1.27875,0.74692,0.93747,0.90657,0.87173,0.93105,0.59543,1.02517,2.44958,0.7776,0.00189055,0.00189055,0.00189055
