epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2273,1.58331,2.51334,1.00663,0.87997,0.29325,0.62943,0.27946,1.55778,19.3083,0.89024,0.00066087,0.00066087,0.00066087
2,56.7768,1.49016,1.5141,0.99403,0.86891,0.82573,0.87396,0.41266,1.3557,6.65923,0.88302,0.00132313,0.00132313,0.00132313
3,69.9542,1.47775,1.22191,0.98682,0.88171,0.83086,0.90168,0.53876,1.13935,5.17391,0.8426,0.00198097,0.00198097,0.00198097
4,82.7152,1.42102,1.0282,0.96275,0.90444,0.85143,0.91557,0.54136,1.18364,2.74979,0.84655,0.0019801,0.0019801,0.0019801
5,95.4986,1.39388,0.94211,0.9636,0.91995,0.87429,0.93246,0.57126,1.12861,2.51522,0.82755,0.00197347,0.00197347,0.00197347
6,108.36,1.3756,0.89082,0.95404,0.94014,0.87314,0.94253,0.55847,1.18535,3.03434,0.84686,0.00196683,0.00196683,0.00196683
7,121.192,1.34978,0.86161,0.95454,0.92219,0.83973,0.92434,0.55566,1.14386,8.17623,0.83823,0.0019602,0.0019602,0.0019602
8,133.742,1.31948,0.82118,0.93872,0.91437,0.88686,0.94207,0.59239,1.09168,2.96526,0.82318,0.00195357,0.00195357,0.00195357
9,146.48,1.29717,0.7926,0.93658,0.93439,0.89371,0.95071,0.6071,1.05149,1.76063,0.81667,0.00194693,0.00194693,0.00194693
10,159.208,1.29213,0.79272,0.93362,0.918,0.9212,0.9599,0.61831,1.04713,2.17382,0.81002,0.0019403,0.0019403,0.0019403
11,171.765,1.27447,0.76895,0.9345,0.945,0.90743,0.95635,0.6339,1.01634,1.07146,0.80358,0.00193367,0.00193367,0.00193367
12,184.494,1.25,0.75043,0.92728,0.93766,0.89386,0.95726,0.60382,1.08901,3.28903,0.82476,0.00192703,0.00192703,0.00192703
13,197.016,1.24127,0.73931,0.918,0.96169,0.904,0.95834,0.58314,1.11395,0.9165,0.80502,0.0019204,0.0019204,0.0019204
14,209.865,1.23266,0.72182,0.92654,0.94731,0.92343,0.97196,0.63698,1.01291,2.08866,0.80404,0.00191377,0.00191377,0.00191377
15,222.536,1.24959,0.71734,0.92052,0.93526,0.91086,0.95958,0.62791,1.0311,2.43782,0.79198,0.00190713,0.00190713,0.00190713
