epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1279,1.5829,2.28767,1.09396,0.93188,0.78176,0.90387,0.60966,0.99318,16.1956,0.84208,0.00066087,0.00066087,0.00066087
2,56.5168,1.38502,1.3433,1.02442,0.89398,0.76914,0.86237,0.5666,1.00269,17.7691,0.86758,0.00132313,0.00132313,0.00132313
3,69.3144,1.32426,1.0952,1.01072,0.92673,0.83843,0.92185,0.56631,1.1342,7.08867,0.8833,0.00198097,0.00198097,0.00198097
4,81.9116,1.26498,0.92627,0.98093,0.92271,0.83231,0.9262,0.62755,0.9842,5.41756,0.84308,0.0019801,0.0019801,0.0019801
5,94.6976,1.19187,0.84394,0.9755,0.93784,0.89656,0.95465,0.6305,1.02292,6.52342,0.84677,0.00197347,0.00197347,0.00197347
6,107.382,1.22661,0.81513,0.96951,0.94369,0.90629,0.96006,0.67067,0.92225,3.21038,0.8236,0.00196683,0.00196683,0.00196683
7,119.977,1.17615,0.78742,0.96337,0.95116,0.86812,0.95049,0.60971,1.07399,2.26961,0.86645,0.0019602,0.0019602,0.0019602
8,132.635,1.13966,0.73552,0.95029,0.9491,0.89496,0.95982,0.70201,0.85089,4.45552,0.79902,0.00195357,0.00195357,0.00195357
9,145.333,1.16373,0.71071,0.95163,0.95273,0.89842,0.96481,0.62378,1.03884,3.98976,0.83879,0.00194693,0.00194693,0.00194693
10,158.057,1.11849,0.69543,0.94083,0.95109,0.88903,0.96408,0.70902,0.83446,1.75132,0.795,0.0019403,0.0019403,0.0019403
11,170.663,1.09768,0.69656,0.94018,0.94229,0.91543,0.96559,0.60815,1.1492,1.62976,0.88179,0.00193367,0.00193367,0.00193367
12,183.388,1.07821,0.6614,0.93147,0.95253,0.9173,0.9708,0.71892,0.82679,1.35871,0.79805,0.00192703,0.00192703,0.00192703
13,196.116,1.05769,0.64568,0.91951,0.9501,0.92571,0.97008,0.72265,0.83412,1.75955,0.79382,0.0019204,0.0019204,0.0019204
14,208.83,1.04074,0.63792,0.9315,0.95015,0.92114,0.97468,0.71085,0.86624,5.37466,0.79969,0.00191377,0.00191377,0.00191377
15,221.538,1.06058,0.6399,0.92458,0.96903,0.92962,0.96429,0.71238,0.81871,2.18746,0.78328,0.00190713,0.00190713,0.00190713
16,234.087,1.01629,0.62224,0.9091,0.96772,0.92492,0.9709,0.71847,0.82435,8.94313,0.78919,0.0019005,0.0019005,0.0019005
