epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6673,1.32108,1.80371,1.04551,0.93698,0.92436,0.97072,0.67146,0.95779,10.39,0.88101,0.00331858,0.00331858,0.00331858
2,80.5066,1.05503,0.94821,0.94355,0.93904,0.90866,0.96619,0.61013,1.11157,3.96992,0.90671,0.00662997,0.00662997,0.00662997
3,107.138,1.04239,0.78793,0.93564,0.92022,0.9001,0.94975,0.67272,0.99045,1.69757,0.89957,0.00991935,0.00991935,0.00991935
4,133.586,1.02916,0.66641,0.93309,0.92665,0.8725,0.94241,0.65284,1.00717,7.33924,0.90291,0.009901,0.009901,0.009901
5,160.144,0.97509,0.60105,0.91801,0.9463,0.90543,0.96199,0.71818,0.83812,4.38973,0.85777,0.009868,0.009868,0.009868
6,186.184,0.93235,0.55726,0.90481,0.9536,0.91901,0.97077,0.73956,0.83069,1.83743,0.84495,0.009835,0.009835,0.009835
7,212.245,0.90175,0.52607,0.89945,0.94693,0.92578,0.97421,0.75286,0.80714,2.26453,0.83661,0.009802,0.009802,0.009802
8,238.484,0.88309,0.50493,0.89196,0.96738,0.92912,0.97767,0.74568,0.81239,1.11991,0.83496,0.009769,0.009769,0.009769
9,264.778,0.85978,0.48672,0.88523,0.95978,0.92578,0.97564,0.76907,0.77349,1.67494,0.82881,0.009736,0.009736,0.009736
10,291.186,0.84984,0.47613,0.88326,0.96384,0.93848,0.98167,0.76613,0.8051,0.90563,0.82909,0.009703,0.009703,0.009703
11,317.681,0.82195,0.46251,0.87654,0.96904,0.94101,0.98433,0.78024,0.76436,1.78775,0.82157,0.00967,0.00967,0.00967
12,344.541,0.81169,0.44816,0.87504,0.97487,0.951,0.9864,0.7874,0.72545,0.62372,0.8156,0.009637,0.009637,0.009637
13,370.425,0.79813,0.43567,0.86673,0.97924,0.93911,0.98407,0.80205,0.70835,0.53838,0.81131,0.009604,0.009604,0.009604
14,396.731,0.79028,0.43424,0.86765,0.97358,0.95243,0.98803,0.79194,0.73285,0.6878,0.81152,0.009571,0.009571,0.009571
15,422.788,0.77149,0.41885,0.86243,0.97159,0.96194,0.98505,0.80201,0.71685,0.53461,0.81007,0.009538,0.009538,0.009538
16,449.392,0.77184,0.41531,0.86231,0.97261,0.9461,0.98459,0.79658,0.73389,0.81799,0.81972,0.009505,0.009505,0.009505
17,475.331,0.76505,0.40777,0.86169,0.97994,0.95671,0.98879,0.81743,0.67571,0.54253,0.80505,0.009472,0.009472,0.009472
18,501.607,0.74942,0.40932,0.85607,0.97406,0.96473,0.99012,0.81286,0.68034,0.92667,0.8009,0.009439,0.009439,0.009439
19,527.581,0.75407,0.40181,0.85643,0.97287,0.9705,0.9896,0.81667,0.66847,0.97985,0.79576,0.009406,0.009406,0.009406
