epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.2577,1.33278,2.12804,1.06129,0.88068,0.8815,0.93776,0.64708,1.05412,4.19524,0.94279,0.00331845,0.00331845,0.00331845
2,81.7889,1.05183,1.17953,0.95004,0.83634,0.84033,0.89331,0.65718,0.96004,4.2358,0.92231,0.00662983,0.00662983,0.00662983
3,108.033,1.0389,1.00032,0.94678,0.75701,0.84052,0.87652,0.53577,1.28079,4.38068,1.02356,0.00991922,0.00991922,0.00991922
4,133.839,1.01379,0.84002,0.93989,0.88609,0.86709,0.9249,0.65885,1.03489,2.76974,0.93649,0.009901,0.009901,0.009901
5,159.79,0.97088,0.73421,0.92813,0.89109,0.86329,0.93147,0.69136,0.95709,4.77014,0.92185,0.009868,0.009868,0.009868
6,185.862,0.92495,0.66805,0.91231,0.8951,0.90308,0.95001,0.71503,0.95414,1.04391,0.91707,0.009835,0.009835,0.009835
7,211.542,0.90357,0.6169,0.90525,0.90652,0.88052,0.94507,0.7402,0.84262,1.09718,0.88806,0.009802,0.009802,0.009802
8,237.165,0.87379,0.59111,0.89539,0.90303,0.87601,0.94703,0.73457,0.8731,1.31717,0.89329,0.009769,0.009769,0.009769
9,263.028,0.86328,0.56969,0.89088,0.94103,0.93254,0.97142,0.75298,0.8495,0.90813,0.87727,0.009736,0.009736,0.009736
10,289.187,0.84364,0.54635,0.88794,0.95191,0.93221,0.98026,0.78528,0.80852,1.24581,0.87477,0.009703,0.009703,0.009703
11,315.135,0.82975,0.52477,0.88127,0.94665,0.92742,0.97418,0.75929,0.8317,1.1588,0.8684,0.00967,0.00967,0.00967
12,341.045,0.81445,0.51073,0.87921,0.94464,0.92955,0.97408,0.79064,0.76714,0.57295,0.86189,0.009637,0.009637,0.009637
13,366.618,0.79761,0.50107,0.87289,0.94227,0.92562,0.96975,0.76796,0.80179,1.40813,0.86931,0.009604,0.009604,0.009604
14,392.717,0.79302,0.48618,0.87139,0.94631,0.94156,0.97708,0.79653,0.73736,0.78289,0.85201,0.009571,0.009571,0.009571
15,418.412,0.7832,0.47338,0.87151,0.95821,0.93694,0.97752,0.79031,0.74726,0.99716,0.84936,0.009538,0.009538,0.009538
16,444.194,0.7749,0.46769,0.86839,0.95417,0.94473,0.98196,0.80892,0.73291,0.47811,0.85461,0.009505,0.009505,0.009505
17,469.711,0.75861,0.4563,0.86322,0.94368,0.94112,0.97924,0.80485,0.73759,0.55137,0.84989,0.009472,0.009472,0.009472
18,496.027,0.75475,0.44845,0.85978,0.93151,0.94132,0.97532,0.80477,0.71442,0.47937,0.84461,0.009439,0.009439,0.009439
19,522.276,0.74243,0.44033,0.85832,0.96485,0.95247,0.98565,0.81558,0.71998,1.05124,0.85058,0.009406,0.009406,0.009406
20,548.245,0.73842,0.44267,0.85533,0.94322,0.95807,0.98386,0.81999,0.69575,0.44493,0.84179,0.009373,0.009373,0.009373
21,573.987,0.72307,0.43053,0.85416,0.95416,0.95851,0.98756,0.8257,0.69704,0.44726,0.83801,0.00934,0.00934,0.00934
22,599.934,0.7195,0.42193,0.85203,0.96585,0.93778,0.98448,0.81236,0.719,0.67912,0.8455,0.009307,0.009307,0.009307
23,625.874,0.72273,0.42126,0.85309,0.96124,0.95019,0.98566,0.82141,0.69184,0.56808,0.83581,0.009274,0.009274,0.009274
24,651.972,0.71403,0.41343,0.85063,0.97245,0.95412,0.98815,0.82826,0.68948,0.5393,0.83614,0.009241,0.009241,0.009241
25,677.818,0.70533,0.41453,0.84957,0.97066,0.961,0.98852,0.83114,0.6747,0.46072,0.83482,0.009208,0.009208,0.009208
26,703.561,0.7002,0.40968,0.84588,0.9773,0.96039,0.98835,0.83405,0.67607,0.47006,0.8328,0.009175,0.009175,0.009175
27,729.444,0.69773,0.40378,0.84843,0.97112,0.95404,0.98593,0.82908,0.67968,0.51285,0.83468,0.009142,0.009142,0.009142
28,755.322,0.69107,0.4002,0.84683,0.97389,0.9551,0.98789,0.8335,0.68451,0.51249,0.83233,0.009109,0.009109,0.009109
29,781.372,0.69049,0.39767,0.84312,0.96892,0.96049,0.98805,0.83006,0.69877,0.81334,0.83507,0.009076,0.009076,0.009076
30,807.107,0.68522,0.38712,0.84679,0.97557,0.95857,0.98956,0.83848,0.6601,0.47401,0.8274,0.009043,0.009043,0.009043
31,833.219,0.6774,0.38217,0.84122,0.96855,0.97107,0.99024,0.84188,0.6691,0.39883,0.82691,0.00901,0.00901,0.00901
32,859.348,0.67475,0.38148,0.84172,0.9683,0.95984,0.98781,0.83,0.68203,1.10467,0.83405,0.008977,0.008977,0.008977
33,884.889,0.67277,0.37669,0.83884,0.97451,0.97008,0.98899,0.84525,0.6529,0.43721,0.82687,0.008944,0.008944,0.008944
34,910.528,0.66643,0.36997,0.83947,0.96995,0.96135,0.98801,0.83988,0.65848,0.3992,0.82812,0.008911,0.008911,0.008911
35,936.237,0.65964,0.37195,0.83806,0.97687,0.96799,0.98941,0.84117,0.65397,0.37052,0.82504,0.008878,0.008878,0.008878
36,961.948,0.65269,0.36368,0.83383,0.98083,0.97299,0.98959,0.8425,0.64685,0.50867,0.82361,0.008845,0.008845,0.008845
37,987.976,0.65261,0.36538,0.83655,0.97444,0.97167,0.98974,0.84906,0.64692,0.63809,0.82467,0.008812,0.008812,0.008812
38,1013.76,0.65111,0.36554,0.8348,0.97542,0.97119,0.99008,0.84771,0.62705,0.36963,0.81898,0.008779,0.008779,0.008779
39,1039.92,0.63778,0.35977,0.83534,0.97537,0.97284,0.99082,0.85202,0.62411,0.48887,0.81763,0.008746,0.008746,0.008746
40,1065.78,0.64532,0.35727,0.83309,0.98351,0.97148,0.99205,0.8522,0.63318,0.57407,0.82069,0.008713,0.008713,0.008713
41,1092.11,0.63884,0.35038,0.8307,0.97781,0.97267,0.9898,0.85184,0.62974,0.54264,0.8217,0.00868,0.00868,0.00868
42,1118.31,0.63202,0.35208,0.83155,0.97434,0.97166,0.9904,0.85269,0.62056,0.35592,0.82103,0.008647,0.008647,0.008647
43,1144.23,0.63094,0.34986,0.82859,0.98182,0.97726,0.99164,0.85232,0.62092,0.38238,0.81903,0.008614,0.008614,0.008614
44,1170.15,0.62841,0.34336,0.82703,0.9861,0.97328,0.99224,0.85775,0.61099,0.3534,0.81402,0.008581,0.008581,0.008581
45,1196.2,0.62411,0.34375,0.83098,0.98315,0.97007,0.99132,0.85671,0.61481,0.50634,0.819,0.008548,0.008548,0.008548
46,1222.14,0.62127,0.34262,0.82881,0.97855,0.98029,0.99084,0.86144,0.60349,0.5818,0.81186,0.008515,0.008515,0.008515
47,1247.75,0.6155,0.33756,0.82822,0.98213,0.97707,0.99148,0.86355,0.58923,0.33099,0.80963,0.008482,0.008482,0.008482
48,1273.66,0.61413,0.33673,0.82616,0.98267,0.9722,0.99139,0.86069,0.60527,0.33041,0.81437,0.008449,0.008449,0.008449
49,1299.05,0.61059,0.33523,0.8256,0.98662,0.9745,0.99118,0.86506,0.58591,0.33649,0.80895,0.008416,0.008416,0.008416
50,1325.08,0.60833,0.32933,0.82394,0.98857,0.9714,0.99152,0.86126,0.58813,0.46776,0.80972,0.008383,0.008383,0.008383
51,1350.77,0.60256,0.32745,0.82283,0.98689,0.97549,0.99165,0.86421,0.59387,0.33432,0.8102,0.00835,0.00835,0.00835
52,1376.03,0.60637,0.32905,0.82559,0.9628,0.97673,0.99086,0.86074,0.59967,0.35084,0.81293,0.008317,0.008317,0.008317
53,1402.17,0.60029,0.32809,0.82219,0.9846,0.97214,0.99184,0.86802,0.57895,0.37217,0.80947,0.008284,0.008284,0.008284
54,1428.17,0.60064,0.32515,0.82004,0.98228,0.97426,0.99062,0.86774,0.58576,0.3971,0.81373,0.008251,0.008251,0.008251
55,1454.48,0.59804,0.32876,0.82145,0.98394,0.97277,0.99108,0.86532,0.57786,0.32614,0.81058,0.008218,0.008218,0.008218
56,1480.35,0.59508,0.3208,0.82047,0.98917,0.97586,0.99282,0.87055,0.59049,0.36431,0.81035,0.008185,0.008185,0.008185
57,1506.15,0.58557,0.31601,0.81954,0.98463,0.97326,0.99049,0.86948,0.58314,0.34602,0.81123,0.008152,0.008152,0.008152
58,1531.63,0.58742,0.31435,0.8198,0.98553,0.97591,0.991,0.86685,0.58424,0.34718,0.80831,0.008119,0.008119,0.008119
59,1557.22,0.58173,0.3161,0.81874,0.98595,0.97222,0.99052,0.87034,0.56862,0.34454,0.80843,0.008086,0.008086,0.008086
60,1582.55,0.57774,0.31436,0.81946,0.98437,0.97416,0.99063,0.87593,0.55665,0.4779,0.80472,0.008053,0.008053,0.008053
61,1608.04,0.57938,0.31286,0.81767,0.98594,0.98165,0.99116,0.86969,0.5742,0.34671,0.80944,0.00802,0.00802,0.00802
62,1633.66,0.57491,0.31101,0.81803,0.98216,0.97645,0.99076,0.87152,0.56899,0.63536,0.80943,0.007987,0.007987,0.007987
63,1659.57,0.57685,0.30923,0.81641,0.98942,0.98124,0.99254,0.87245,0.56827,0.34504,0.80361,0.007954,0.007954,0.007954
64,1685.28,0.56902,0.30558,0.81754,0.9863,0.97709,0.99089,0.87356,0.56384,0.43583,0.80553,0.007921,0.007921,0.007921
65,1710.97,0.56983,0.30633,0.81852,0.99116,0.9745,0.9916,0.87837,0.55259,0.32244,0.80334,0.007888,0.007888,0.007888
66,1736.45,0.56226,0.30435,0.81552,0.98749,0.97625,0.99235,0.87955,0.55132,0.30614,0.80019,0.007855,0.007855,0.007855
67,1762.04,0.56145,0.30771,0.81445,0.97927,0.98483,0.99229,0.87759,0.56543,0.30998,0.80167,0.007822,0.007822,0.007822
68,1787.39,0.56099,0.30178,0.81343,0.98801,0.97966,0.99254,0.87619,0.56402,0.40198,0.80506,0.007789,0.007789,0.007789
69,1813.17,0.55811,0.29924,0.81246,0.9886,0.97606,0.99184,0.87885,0.55841,0.35616,0.80126,0.007756,0.007756,0.007756
70,1838.66,0.55286,0.29966,0.81445,0.98993,0.97606,0.99237,0.88004,0.54432,0.29909,0.79797,0.007723,0.007723,0.007723
71,1864.6,0.55006,0.29456,0.81176,0.98976,0.97683,0.99334,0.88241,0.54753,0.46905,0.8006,0.00769,0.00769,0.00769
72,1890.57,0.54768,0.29632,0.81364,0.98769,0.97901,0.9916,0.88404,0.53533,0.45969,0.79714,0.007657,0.007657,0.007657
73,1916.63,0.54563,0.29481,0.81209,0.98976,0.97863,0.99167,0.87838,0.55079,0.29739,0.79874,0.007624,0.007624,0.007624
74,1942.18,0.54141,0.29538,0.80806,0.99013,0.97948,0.99277,0.88419,0.53523,0.29355,0.79942,0.007591,0.007591,0.007591
75,1968.19,0.54153,0.29372,0.80975,0.98794,0.98255,0.99233,0.88387,0.53127,0.32785,0.80093,0.007558,0.007558,0.007558
76,1993.89,0.54237,0.29074,0.81034,0.99092,0.97705,0.99199,0.88697,0.52774,0.30192,0.79758,0.007525,0.007525,0.007525
77,2019.7,0.53551,0.28684,0.81183,0.98925,0.9803,0.99184,0.88629,0.53833,0.29189,0.79899,0.007492,0.007492,0.007492
78,2045.83,0.53791,0.28793,0.81097,0.9917,0.98443,0.99299,0.89002,0.52307,0.28259,0.79471,0.007459,0.007459,0.007459
79,2071.62,0.52668,0.2843,0.80867,0.98792,0.98025,0.99127,0.88869,0.52784,0.28404,0.79944,0.007426,0.007426,0.007426
80,2097.22,0.52775,0.28609,0.80888,0.9907,0.98407,0.99294,0.88751,0.52761,0.35632,0.79797,0.007393,0.007393,0.007393
81,2123.46,0.52481,0.28154,0.81106,0.99132,0.98301,0.99383,0.88469,0.53383,0.28627,0.79905,0.00736,0.00736,0.00736
82,2149.63,0.52255,0.28087,0.80944,0.99091,0.98101,0.99246,0.89076,0.52193,0.27712,0.79608,0.007327,0.007327,0.007327
83,2175.35,0.51873,0.28029,0.80568,0.99214,0.98456,0.9924,0.88981,0.52135,0.28804,0.79817,0.007294,0.007294,0.007294
84,2201.08,0.51737,0.28315,0.80687,0.99053,0.98363,0.99232,0.89142,0.50812,0.27436,0.79509,0.007261,0.007261,0.007261
85,2227.36,0.51644,0.27883,0.80528,0.98983,0.98418,0.99339,0.89368,0.51004,0.28461,0.79657,0.007228,0.007228,0.007228
86,2253.32,0.51113,0.27847,0.80525,0.98715,0.98114,0.9922,0.89313,0.50647,0.29477,0.79313,0.007195,0.007195,0.007195
87,2278.89,0.5129,0.27453,0.80632,0.9901,0.98505,0.99258,0.8935,0.50659,0.27337,0.79414,0.007162,0.007162,0.007162
88,2304.76,0.50648,0.2757,0.8055,0.99211,0.98034,0.99258,0.89497,0.51001,0.283,0.79287,0.007129,0.007129,0.007129
89,2331.08,0.50481,0.27424,0.80635,0.9917,0.97782,0.99345,0.89453,0.50842,0.34833,0.79196,0.007096,0.007096,0.007096
90,2356.77,0.50339,0.27288,0.80427,0.99337,0.98261,0.99186,0.89515,0.50357,0.27445,0.79378,0.007063,0.007063,0.007063
91,2382.78,0.50522,0.27238,0.80397,0.98942,0.98297,0.99184,0.8958,0.5099,0.33688,0.79472,0.00703,0.00703,0.00703
92,2408.37,0.50316,0.27338,0.80677,0.99234,0.98388,0.99245,0.8966,0.50407,0.29335,0.79365,0.006997,0.006997,0.006997
93,2434.28,0.49985,0.26997,0.80465,0.99034,0.98041,0.99245,0.89722,0.50923,0.28605,0.79463,0.006964,0.006964,0.006964
94,2459.88,0.49779,0.26879,0.80328,0.99554,0.97985,0.99308,0.89946,0.49397,0.26866,0.793,0.006931,0.006931,0.006931
95,2485.81,0.49251,0.26899,0.80193,0.99456,0.98004,0.99283,0.89917,0.49189,0.26626,0.79207,0.006898,0.006898,0.006898
96,2512.04,0.49444,0.26883,0.80395,0.99087,0.9858,0.99276,0.89933,0.49129,0.26919,0.79278,0.006865,0.006865,0.006865
97,2538.07,0.49346,0.26825,0.80302,0.99339,0.98424,0.99279,0.89893,0.48462,0.26341,0.79059,0.006832,0.006832,0.006832
98,2564.08,0.48682,0.2646,0.80114,0.99055,0.98471,0.9929,0.90273,0.48564,0.27495,0.78914,0.006799,0.006799,0.006799
99,2589.5,0.48357,0.26412,0.80185,0.99152,0.986,0.99315,0.90404,0.48457,0.2625,0.78854,0.006766,0.006766,0.006766
100,2615.15,0.4821,0.26508,0.79989,0.99333,0.98258,0.99227,0.90214,0.48729,0.26504,0.79052,0.006733,0.006733,0.006733
101,2641.38,0.47716,0.25936,0.80093,0.99111,0.98407,0.99212,0.90363,0.48425,0.27429,0.79045,0.0067,0.0067,0.0067
102,2667.12,0.47742,0.26058,0.80148,0.99234,0.98484,0.99286,0.90437,0.47682,0.26162,0.79044,0.006667,0.006667,0.006667
103,2693,0.47611,0.2614,0.79777,0.99254,0.98377,0.99297,0.90792,0.47353,0.27081,0.79001,0.006634,0.006634,0.006634
104,2718.35,0.47562,0.26135,0.79972,0.99234,0.98175,0.99275,0.90572,0.47159,0.27455,0.78749,0.006601,0.006601,0.006601
105,2744.43,0.47536,0.26065,0.80039,0.99154,0.98503,0.99287,0.90598,0.47546,0.27067,0.78896,0.006568,0.006568,0.006568
106,2770.34,0.47115,0.2562,0.79958,0.99105,0.98447,0.99233,0.9084,0.4772,0.26396,0.7901,0.006535,0.006535,0.006535
107,2796.2,0.46923,0.2561,0.8011,0.9939,0.98332,0.99271,0.90817,0.46986,0.26237,0.78734,0.006502,0.006502,0.006502
108,2821.91,0.4628,0.25229,0.79872,0.99134,0.98557,0.99161,0.90775,0.46522,0.25961,0.78622,0.006469,0.006469,0.006469
109,2847.64,0.46086,0.25184,0.80307,0.99162,0.9871,0.99274,0.90661,0.46261,0.26842,0.78793,0.006436,0.006436,0.006436
110,2873.43,0.4625,0.25226,0.79547,0.99121,0.98002,0.99295,0.90887,0.46327,0.25774,0.78662,0.006403,0.006403,0.006403
111,2898.98,0.45872,0.25486,0.80146,0.99085,0.98524,0.99161,0.90698,0.46374,0.258,0.78885,0.00637,0.00637,0.00637
112,2924.99,0.45826,0.24965,0.79778,0.99058,0.98763,0.99157,0.90868,0.45893,0.25473,0.78733,0.006337,0.006337,0.006337
113,2951.16,0.4571,0.25349,0.79638,0.98934,0.98804,0.99157,0.90954,0.45584,0.25451,0.78598,0.006304,0.006304,0.006304
114,2977,0.4505,0.24864,0.79645,0.99314,0.98345,0.9929,0.91451,0.45015,0.25171,0.78507,0.006271,0.006271,0.006271
115,3002.96,0.45454,0.25001,0.79549,0.99158,0.98563,0.99284,0.91366,0.44953,0.25646,0.78396,0.006238,0.006238,0.006238
116,3028.9,0.44726,0.2492,0.79582,0.99175,0.98328,0.99245,0.91224,0.44748,0.26207,0.78378,0.006205,0.006205,0.006205
117,3054.67,0.44652,0.249,0.7974,0.9908,0.98884,0.99333,0.91453,0.45317,0.26343,0.78383,0.006172,0.006172,0.006172
118,3080.58,0.4458,0.24768,0.79786,0.99251,0.98767,0.99303,0.91233,0.45319,0.26424,0.78421,0.006139,0.006139,0.006139
119,3106.65,0.44509,0.24472,0.79467,0.9953,0.98743,0.99288,0.91277,0.45251,0.24931,0.7848,0.006106,0.006106,0.006106
120,3132.7,0.44127,0.24257,0.79301,0.99297,0.98581,0.99288,0.91546,0.44657,0.2524,0.78533,0.006073,0.006073,0.006073
121,3158.57,0.44042,0.24502,0.79646,0.99376,0.98712,0.99358,0.91518,0.44781,0.25286,0.78437,0.00604,0.00604,0.00604
122,3184.16,0.43297,0.24212,0.7945,0.99315,0.98667,0.9938,0.91564,0.44804,0.25846,0.78472,0.006007,0.006007,0.006007
123,3209.95,0.43578,0.2415,0.79254,0.99107,0.98763,0.99252,0.91622,0.44369,0.25096,0.78543,0.005974,0.005974,0.005974
124,3235.98,0.43659,0.24412,0.79499,0.99457,0.98694,0.99385,0.91628,0.44095,0.24732,0.78616,0.005941,0.005941,0.005941
125,3261.71,0.43444,0.24289,0.79478,0.99483,0.98637,0.99295,0.91457,0.44832,0.25003,0.78666,0.005908,0.005908,0.005908
126,3287.98,0.43322,0.24078,0.79453,0.99553,0.98655,0.99306,0.91697,0.44678,0.24918,0.78608,0.005875,0.005875,0.005875
127,3313.9,0.43436,0.24296,0.79433,0.99439,0.98673,0.99308,0.91802,0.44851,0.24924,0.78551,0.005842,0.005842,0.005842
128,3340.02,0.43196,0.23991,0.79176,0.99362,0.98637,0.99319,0.91895,0.44594,0.24522,0.78658,0.005809,0.005809,0.005809
129,3365.87,0.42259,0.2369,0.79151,0.99405,0.98627,0.99354,0.91919,0.44314,0.24836,0.7867,0.005776,0.005776,0.005776
130,3391.85,0.42111,0.23614,0.7925,0.99329,0.98497,0.99271,0.91817,0.43955,0.24932,0.78523,0.005743,0.005743,0.005743
131,3417.88,0.42262,0.23634,0.79143,0.99242,0.98638,0.99314,0.91954,0.43638,0.25929,0.78519,0.00571,0.00571,0.00571
132,3444.01,0.41898,0.2338,0.79143,0.99523,0.98443,0.99316,0.92115,0.43047,0.24519,0.78485,0.005677,0.005677,0.005677
133,3469.97,0.4203,0.23478,0.79085,0.99417,0.9873,0.99321,0.92205,0.42241,0.23761,0.78321,0.005644,0.005644,0.005644
134,3495.79,0.41841,0.23606,0.78995,0.99516,0.98636,0.99318,0.92524,0.42222,0.24257,0.78306,0.005611,0.005611,0.005611
135,3521.68,0.40942,0.23015,0.79073,0.99399,0.98795,0.99362,0.92208,0.42419,0.25357,0.78466,0.005578,0.005578,0.005578
136,3547.56,0.40724,0.23165,0.79093,0.99414,0.98703,0.99286,0.9254,0.42484,0.27593,0.78528,0.005545,0.005545,0.005545
137,3573.52,0.41084,0.23328,0.79139,0.99605,0.98645,0.99354,0.92403,0.42603,0.23556,0.78622,0.005512,0.005512,0.005512
138,3599.52,0.40775,0.23042,0.78901,0.99456,0.98796,0.99332,0.92515,0.42348,0.24267,0.78562,0.005479,0.005479,0.005479
139,3625.27,0.41011,0.23215,0.78806,0.99342,0.98794,0.99371,0.92378,0.42179,0.24161,0.78539,0.005446,0.005446,0.005446
140,3651.09,0.40576,0.22945,0.7903,0.99221,0.98843,0.99292,0.92514,0.41902,0.23267,0.78491,0.005413,0.005413,0.005413
141,3676.86,0.40189,0.22834,0.78848,0.99303,0.98483,0.99302,0.92626,0.41924,0.23894,0.78488,0.00538,0.00538,0.00538
142,3702.45,0.40405,0.22895,0.78911,0.99185,0.98524,0.99286,0.92629,0.41506,0.23673,0.78314,0.005347,0.005347,0.005347
143,3728.5,0.40343,0.22866,0.78967,0.99034,0.98901,0.99347,0.9282,0.41019,0.23791,0.7823,0.005314,0.005314,0.005314
144,3754.64,0.40284,0.23002,0.78887,0.99165,0.98828,0.99292,0.92897,0.40998,0.23467,0.78228,0.005281,0.005281,0.005281
145,3780.58,0.39836,0.22806,0.78961,0.99033,0.98922,0.99238,0.92812,0.4115,0.2566,0.78427,0.005248,0.005248,0.005248
146,3806.35,0.39242,0.22461,0.7871,0.99364,0.98536,0.99271,0.92876,0.41245,0.27279,0.78455,0.005215,0.005215,0.005215
147,3832.16,0.39276,0.22377,0.78799,0.99399,0.98575,0.99324,0.93104,0.41153,0.25721,0.78308,0.005182,0.005182,0.005182
148,3858.11,0.38538,0.22295,0.78794,0.99345,0.9859,0.99348,0.93124,0.40887,0.24437,0.78178,0.005149,0.005149,0.005149
149,3883.99,0.39036,0.22203,0.7859,0.9934,0.98768,0.99347,0.93171,0.40858,0.23623,0.78276,0.005116,0.005116,0.005116
150,3909.96,0.39093,0.22319,0.78736,0.99353,0.98661,0.99296,0.93148,0.40303,0.24277,0.78199,0.005083,0.005083,0.005083
151,3935.61,0.38457,0.22024,0.78664,0.99363,0.98743,0.99314,0.93275,0.40388,0.23799,0.78244,0.00505,0.00505,0.00505
