epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.0198,1.30652,1.68305,1.05448,0.92525,0.89994,0.9492,0.72139,0.97384,1.72039,0.91764,0.00331909,0.00331909,0.00331909
1,54.0797,1.76421,3.10213,1.21714,0.82621,0.86318,0.92253,0.59591,1.21638,0.84128,0.96599,0.00326667,0.00326667,0.00326667
2,80.8234,1.03292,0.76678,0.93074,0.85669,0.83331,0.89044,0.62219,1.0712,1.09449,0.93884,0.00658367,0.00658367,0.00658367
3,107.679,1.0371,0.7033,0.92295,0.4349,0.77879,0.68135,0.47789,1.08656,4.82871,0.96355,0.00988416,0.00988416,0.00988416
4,134.231,0.99983,0.7026,0.91843,0.64587,0.7053,0.73115,0.42082,1.51848,3.46337,1.12849,0.00992575,0.00992575,0.00992575
5,161.121,0.96015,0.63308,0.90525,0.7237,0.4441,0.57172,0.3508,1.56102,2.5567,1.13541,0.009901,0.009901,0.009901
6,187.289,0.91318,0.58888,0.89231,0.89157,0.84936,0.92741,0.71182,0.87766,1.11531,0.88857,0.00987625,0.00987625,0.00987625
7,214.004,0.87092,0.56321,0.88359,0.90069,0.87253,0.94052,0.71819,0.86678,0.62604,0.87586,0.0098515,0.0098515,0.0098515
8,240.336,0.84896,0.53926,0.87881,0.91092,0.87859,0.9389,0.72964,0.81311,0.58123,0.86993,0.00982675,0.00982675,0.00982675
9,266.842,0.82678,0.5193,0.87035,0.93896,0.89851,0.95821,0.71337,0.93035,0.59756,0.88645,0.009802,0.009802,0.009802
10,293.967,0.82218,0.50731,0.87199,0.8961,0.89562,0.94149,0.73362,0.81713,0.66188,0.87,0.00977725,0.00977725,0.00977725
11,320.856,0.79965,0.49782,0.86695,0.92563,0.91416,0.9537,0.75651,0.78376,0.56297,0.8584,0.0097525,0.0097525,0.0097525
12,347.871,0.78675,0.47749,0.86237,0.94184,0.90946,0.96416,0.76376,0.79444,0.49462,0.86317,0.00972775,0.00972775,0.00972775
13,374.903,0.77276,0.46616,0.85933,0.94667,0.9206,0.96608,0.78318,0.75164,0.51719,0.85685,0.009703,0.009703,0.009703
14,401.579,0.75758,0.4573,0.85436,0.92607,0.86977,0.94023,0.75568,0.81121,0.5292,0.86777,0.00967825,0.00967825,0.00967825
15,428.304,0.7494,0.4574,0.85573,0.95912,0.94652,0.98438,0.79453,0.7562,0.43901,0.85066,0.0096535,0.0096535,0.0096535
16,455.047,0.748,0.44742,0.85276,0.93744,0.93635,0.97472,0.79643,0.73998,0.46172,0.8481,0.00962875,0.00962875,0.00962875
17,481.873,0.7229,0.43422,0.84812,0.95998,0.9497,0.98376,0.80658,0.72532,0.42697,0.84382,0.009604,0.009604,0.009604
18,508.639,0.72444,0.43308,0.84748,0.95256,0.94298,0.97889,0.81174,0.70434,0.44012,0.84244,0.00957925,0.00957925,0.00957925
19,535.348,0.71136,0.41803,0.84466,0.95711,0.94104,0.9786,0.8124,0.69955,0.42395,0.83743,0.0095545,0.0095545,0.0095545
20,561.939,0.70527,0.41332,0.84247,0.96779,0.94332,0.98317,0.82854,0.67534,0.41127,0.83723,0.00952975,0.00952975,0.00952975
21,588.484,0.70044,0.40466,0.84001,0.96999,0.94967,0.98578,0.83041,0.66933,0.38783,0.83122,0.009505,0.009505,0.009505
22,615.586,0.68448,0.40345,0.8391,0.97239,0.95709,0.98861,0.83245,0.6946,0.39328,0.83586,0.00948025,0.00948025,0.00948025
23,642.473,0.68621,0.40777,0.83945,0.96572,0.95788,0.98414,0.82827,0.66231,0.39042,0.83007,0.0094555,0.0094555,0.0094555
24,669.281,0.67479,0.39621,0.8384,0.96701,0.96132,0.98782,0.83305,0.65818,0.38062,0.82795,0.00943075,0.00943075,0.00943075
