epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7453,1.60546,2.97834,1.04096,0.00163,0.10174,0.06415,0.03639,1.338,3.45802,0.95673,0.000467673,0.000467673,0.000467673
2,37.7698,1.46567,1.73548,0.994,0.99208,0.22013,0.30555,0.18581,1.33559,2.06647,0.99176,0.00093931,0.00093931,0.00093931
3,44.6719,1.40201,1.47465,0.97566,0.95901,0.25502,0.29835,0.18066,1.31402,1.44596,1.00889,0.00140621,0.00140621,0.00140621
4,51.216,1.37273,1.32141,0.96781,0.60582,0.41585,0.37724,0.23816,1.25997,0.87347,0.98112,0.00140767,0.00140767,0.00140767
5,57.8956,1.33996,1.16078,0.95174,0.97289,0.27242,0.31338,0.19553,1.28579,0.95965,1.03704,0.00140056,0.00140056,0.00140056
6,64.465,1.32289,1.07774,0.95229,0.95843,0.35217,0.38937,0.24523,1.21879,0.82855,0.96396,0.00139345,0.00139345,0.00139345
7,71.2593,1.28452,0.96856,0.93846,0.95431,0.50507,0.57615,0.33661,1.19582,0.7948,0.98111,0.00138634,0.00138634,0.00138634
8,77.9152,1.25987,0.86927,0.93035,0.96888,0.49415,0.54544,0.30785,1.2341,0.83302,0.96972,0.00137924,0.00137924,0.00137924
9,84.5517,1.27847,0.88183,0.94556,0.8238,0.59278,0.59452,0.30852,1.20453,0.8012,0.95043,0.00137213,0.00137213,0.00137213
10,91.1586,1.22914,0.84267,0.9365,0.90042,0.59508,0.60914,0.31279,1.18768,0.74617,0.95139,0.00136502,0.00136502,0.00136502
11,97.6727,1.18956,0.80957,0.91153,0.92527,0.54506,0.55319,0.33313,1.1037,0.69759,0.92654,0.00135791,0.00135791,0.00135791
12,104.126,1.23861,0.7739,0.93001,0.89518,0.64456,0.62645,0.35558,1.17383,0.69217,0.94484,0.0013508,0.0013508,0.0013508
13,110.605,1.19814,0.77043,0.91909,0.90077,0.50005,0.58389,0.34044,1.12932,0.71771,0.93646,0.00134369,0.00134369,0.00134369
