epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0536,1.53773,3.47122,1.05726,0.60279,0.20613,0.23852,0.13434,1.40826,2.49295,1.07826,0.00038583,0.00038583,0.00038583
2,41.8623,1.36869,1.097,0.96716,0.00146,0.05164,0.00035,0.00026,1.93643,33.9479,1.44553,0.00078204,0.00078204,0.00078204
3,47.2473,1.32626,0.90658,0.96747,0.60171,0.19679,0.22614,0.1327,1.39154,1.33132,1.08816,0.00117427,0.00117427,0.00117427
4,52.7458,1.32936,0.84871,0.96274,0.10451,0.01539,0.01451,0.00729,2.41263,19.1489,2.49184,0.00140767,0.00140767,0.00140767
5,58.2658,1.29009,0.89814,0.95047,2e-05,0.00067,1e-05,0,nan,nan,nan,0.00140056,0.00140056,0.00140056
6,63.6768,1.28894,0.8145,0.95726,0.77647,0.4188,0.4589,0.29459,1.19475,1.1713,1.00442,0.00139345,0.00139345,0.00139345
7,69.1954,1.27263,0.81831,0.9508,0.86183,0.39594,0.44023,0.28748,1.18382,0.83519,0.97809,0.00138634,0.00138634,0.00138634
8,74.5132,1.22023,0.77472,0.94615,0.79024,0.49771,0.50411,0.3002,1.17339,0.74834,0.96249,0.00137924,0.00137924,0.00137924
9,79.916,1.23653,0.76877,0.94084,0.82603,0.57925,0.6266,0.34596,1.19732,0.86975,0.97096,0.00137213,0.00137213,0.00137213
10,85.2897,1.23355,0.73437,0.93897,0.8628,0.40933,0.49492,0.2862,1.33402,0.90148,1.01677,0.00136502,0.00136502,0.00136502
11,90.6618,1.1903,0.69512,0.92689,0.8166,0.59027,0.57071,0.34937,1.09789,0.74147,0.93702,0.00135791,0.00135791,0.00135791
12,96.1991,1.19611,0.69443,0.92628,0.78269,0.3669,0.46247,0.29482,1.11665,0.85998,0.94865,0.0013508,0.0013508,0.0013508
13,101.563,1.1666,0.70882,0.92081,0.83129,0.48365,0.47559,0.29669,1.1299,0.74898,0.94819,0.00134369,0.00134369,0.00134369
14,107.011,1.13585,0.66212,0.91774,0.98037,0.55534,0.71546,0.41665,1.20753,0.73213,0.97734,0.00133658,0.00133658,0.00133658
15,112.391,1.19689,0.69365,0.93324,0.92809,0.57667,0.60446,0.38077,1.14319,0.67861,0.93515,0.00132947,0.00132947,0.00132947
16,117.756,1.19465,0.68008,0.92348,0.84682,0.55938,0.61425,0.38308,1.08006,0.69442,0.93831,0.00132236,0.00132236,0.00132236
17,123.106,1.11136,0.62048,0.90903,0.96375,0.60117,0.65978,0.37953,1.12465,0.60852,0.9599,0.00131525,0.00131525,0.00131525
18,128.47,1.14243,0.64645,0.91848,0.92896,0.57755,0.65757,0.38181,1.07964,0.62768,0.93254,0.00130814,0.00130814,0.00130814
19,133.865,1.11069,0.64014,0.90366,0.64792,0.55526,0.60458,0.34638,1.07328,0.64903,0.92548,0.00130103,0.00130103,0.00130103
20,139.141,1.09822,0.63519,0.9052,0.97066,0.6506,0.68248,0.41646,1.01095,0.58121,0.91281,0.00129392,0.00129392,0.00129392
21,144.551,1.1066,0.62009,0.90848,0.97947,0.63996,0.67402,0.40012,1.05751,0.77513,0.9205,0.00128681,0.00128681,0.00128681
22,149.956,1.1043,0.62277,0.89832,0.89046,0.60499,0.59098,0.35803,1.09039,0.62892,0.91541,0.00127971,0.00127971,0.00127971
23,155.326,1.1037,0.611,0.89647,0.87415,0.55374,0.54989,0.36441,1.08332,0.61333,0.92291,0.0012726,0.0012726,0.0012726
24,160.718,1.08804,0.58819,0.8967,0.90323,0.55297,0.59961,0.397,1.04439,0.61803,0.91962,0.00126549,0.00126549,0.00126549
25,166.084,1.07029,0.58151,0.89708,0.94629,0.63788,0.64821,0.38383,0.9885,0.56909,0.90299,0.00125838,0.00125838,0.00125838
26,171.496,1.03451,0.55866,0.88473,0.91812,0.55297,0.55552,0.37063,1.03627,0.61231,0.91666,0.00125127,0.00125127,0.00125127
27,176.842,1.03907,0.57275,0.88737,0.89279,0.64797,0.63116,0.39442,1.02046,0.59414,0.9103,0.00124416,0.00124416,0.00124416
28,182.274,1.05203,0.57825,0.88558,0.93783,0.65324,0.62939,0.37715,1.04013,0.57832,0.91334,0.00123705,0.00123705,0.00123705
29,187.636,1.0589,0.59867,0.88698,0.92568,0.60365,0.63623,0.39423,1.05703,0.58457,0.91399,0.00122994,0.00122994,0.00122994
30,192.971,1.02813,0.55319,0.8745,0.93953,0.59028,0.64867,0.39972,1.07483,0.54503,0.91775,0.00122283,0.00122283,0.00122283
31,198.313,1.00109,0.55451,0.8775,0.98389,0.59769,0.66536,0.42177,1.00486,0.57641,0.906,0.00121572,0.00121572,0.00121572
32,203.788,1.02435,0.58465,0.88239,0.93107,0.64341,0.64029,0.39511,1.02458,0.60779,0.90584,0.00120861,0.00120861,0.00120861
33,209.159,1.02392,0.56997,0.88226,0.94873,0.63192,0.64585,0.4123,1.00342,0.56522,0.90798,0.0012015,0.0012015,0.0012015
34,214.515,1.01324,0.56056,0.88244,0.56767,0.73996,0.68032,0.44649,1.01571,0.57143,0.90801,0.00119439,0.00119439,0.00119439
35,220.026,1.01854,0.55118,0.88095,0.93567,0.64801,0.65656,0.42671,0.98804,0.56084,0.90908,0.00118728,0.00118728,0.00118728
36,225.336,1.0166,0.56034,0.87849,0.92637,0.5906,0.64343,0.39576,1.02145,0.57907,0.92073,0.00118018,0.00118018,0.00118018
37,230.736,0.98588,0.5351,0.88141,0.65669,0.62979,0.66874,0.42335,1.01874,0.55687,0.90971,0.00117307,0.00117307,0.00117307
38,236.092,0.97051,0.51871,0.87792,0.56292,0.71507,0.64575,0.41594,1.00384,0.52713,0.89977,0.00116596,0.00116596,0.00116596
39,241.42,1.01939,0.5363,0.87879,0.65853,0.58053,0.56453,0.37868,1.02371,0.56215,0.91504,0.00115885,0.00115885,0.00115885
40,246.772,0.97038,0.51763,0.86858,0.94167,0.64458,0.69088,0.4488,0.99978,0.53716,0.90644,0.00115174,0.00115174,0.00115174
41,252.2,0.96183,0.52132,0.8632,0.5837,0.77625,0.67932,0.43814,1.01495,0.55408,0.90583,0.00114463,0.00114463,0.00114463
42,257.662,0.95916,0.51972,0.86953,0.5892,0.73996,0.77952,0.49741,0.97327,0.54845,0.89488,0.00113752,0.00113752,0.00113752
43,263.079,1.00422,0.54836,0.87002,0.57918,0.74179,0.69179,0.44322,0.95434,0.52679,0.89645,0.00113041,0.00113041,0.00113041
44,268.498,0.95745,0.51785,0.87053,0.61735,0.81861,0.65659,0.44438,0.97424,0.54615,0.90162,0.0011233,0.0011233,0.0011233
45,273.866,0.98026,0.51985,0.86907,0.72201,0.71808,0.70339,0.45942,0.96556,0.51668,0.89973,0.00111619,0.00111619,0.00111619
46,279.217,0.96938,0.51639,0.8623,0.71021,0.7413,0.73138,0.49445,0.96196,0.52836,0.8932,0.00110908,0.00110908,0.00110908
47,284.585,0.9673,0.52568,0.86682,0.87205,0.67788,0.73065,0.46463,0.95644,0.52873,0.90007,0.00110197,0.00110197,0.00110197
48,289.895,0.95547,0.50323,0.86291,0.82509,0.72716,0.73401,0.46394,0.95647,0.55645,0.89273,0.00109486,0.00109486,0.00109486
49,295.279,0.9387,0.49176,0.86776,0.84282,0.79006,0.83445,0.53365,1.00562,0.51932,0.90392,0.00108775,0.00108775,0.00108775
50,300.687,0.93308,0.49415,0.8638,0.79048,0.8253,0.81875,0.5272,0.95521,0.5087,0.90136,0.00108065,0.00108065,0.00108065
51,306.08,0.92141,0.49781,0.86631,0.93174,0.64152,0.86853,0.58304,0.94331,0.51362,0.89499,0.00107354,0.00107354,0.00107354
52,311.508,0.92431,0.49573,0.85648,0.92187,0.72791,0.7838,0.49634,0.96577,0.52461,0.89698,0.00106643,0.00106643,0.00106643
